task,family,alpha_self,ci_lo,ci_hi,r2,n_models,headline,capability
egma-math,gemma4,1.130994948456183,1.0511269379539139,1.210862958958452,0.9999691127466572,3,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
egma-math,internvl35,1.0090943125836564,0.6103476586635671,1.4078409665037457,0.9250490475916994,6,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
egma-math,qwen35,0.554239026477682,-0.9130732802883139,2.0215513332436776,0.3250860865882037,5,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
matrix-reasoning,internvl35,0.16924827860235891,-0.10451501988985595,0.4430115770945738,0.5633806715116986,5,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
theory-of-mind,gemma4,0.7229163248851374,0.5998267350349301,0.8460059147353446,0.9998204617830577,3,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
theory-of-mind,internvl35,0.3004283087623405,-0.12754719409924387,0.7284038116239249,0.4870865645658556,6,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
theory-of-mind,qwen35,0.48680328316461685,0.18005373073902275,0.793552835590211,0.8947631038515785,5,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
theory-of-mind,smolvlm2,-0.03952089190609407,-1.4878682785417987,1.4088264947296105,0.10731003682260085,3,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
trog,internvl35,0.6956413430746153,0.582276534392808,0.8090061517564227,0.9864067410718392,6,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
trog,qwen35,0.8231120845845956,-0.16428119105635386,1.810505360225545,0.8654558825911784,4,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
vocab,gemma4,2.1202340424143293,-4.468863446850818,8.709331531679478,0.9435556983745158,3,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
vocab,internvl35,1.0209643972015452,0.8439562892648309,1.1979725051382595,0.9846423263767005,6,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
vocab,qwen35,1.9112547827614632,0.6942603250590342,3.128249240463892,0.8927782884621753,5,TRUE,"psi_self = exp(theta), model-only Rasch calibration"
egma-math,ALL (pooled),0.9524208344604594,0.509887112042043,1.394954556878876,0.6034840903293907,16,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
matrix-reasoning,ALL (pooled),0.20503296223940642,0.0014174588305859992,0.4086484656482269,0.6614859259806425,6,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
theory-of-mind,ALL (pooled),0.40825710440863444,0.26629928219483295,0.5502149266224359,0.6990731988998329,18,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
trog,ALL (pooled),0.851687561741495,0.5685735216001996,1.1348016018827902,0.8179452766291606,12,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
vocab,ALL (pooled),1.5480316933217555,0.8876257858004941,2.208437600843017,0.6635998918959776,15,FALSE,"psi_self = exp(theta), model-only Rasch calibration"
